dataResourceName,merit/biocollect,digi_vol,citizen_science,non_cs,Scientific,Commercial,Government,Indigenous,Mixed source dataset,"Collection managed (Museum, Herbarium...) ?",Data in Biocache,International,NRM,Data Biocache,CS type
[C4OC] Improving governance arrangements,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Indigenous Capacity,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Land Health,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Mulga Graze,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] NRM Capacity Building for Indigenous Prison Inmates,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] On-ground Action for Maintaining Ecosystem Services in the SA Arid Lands,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Optimising nutrient management for soil health and agricultural production,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Pilbara,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Positive Action Cluster Team (PACT) project,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Protecting areas of national and international significance through strategic control of woody Weeds of National Significance (WONS).,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Protecting KI,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Protecting priority and threatened flora and fauna of the NAR,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Protecting Ramsar sites and values,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
"[C4OC] Protecting Species, Ecosystems, Coasts and Communities: Coasts Sub-project.",Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
"[C4OC] Protecting Species, Ecosystems, Coasts and Communities: Inland Sub-project",Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
"[C4OC] Protecting Species, Ecosystems, Coasts and Communities: Island Sub-project.",Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Ramsar - Protecting East Gippsland’s high value Coastal environments,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Ramsar Wetlands Enhancement and Management,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Regional Landcare Facilitator - Corangamite,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Regional Landcare Facilitator – Eyre Peninsula,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Regional Landcare Facilitator - South West,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Regional Landcare Facilitator (RLF) – Condamine catchment,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Regional Landcare Facilitator for the South Coast Region of WA,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Restoring and Protecting Coastal Environments and Urban Waterways in the South Coast of WA,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] RLF,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] SE3c) Building capacity to close the gap - increasing Indigenous participation in NRM in Mallee Landscapes - Indigenous Ecological Knowledge,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] SE3d) Building capacity to close the gap - increasing Indigenous participation in NRM in Mallee Landscapes - NRM Plans,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Southern,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Southern Soils - best practice for sustainable soils in the South Coast of WA,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
"[C4OC] Strong People, Strong Country",Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Sust Pastoral,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
[C4OC] Sustainable Agriculture - Eyre Peninsula,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
"[C4OC] Sustainable cane, grazing, horticulture, fisheries and forestry production within the Mackay Whitsunday Region",Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
