gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
919415168	22a66350-7947-4a49-84a3-39c7c1b0881f	urn:catalog:MSU:OR:OR.2169	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor		SPECIES	Eudyptula minor (J.R.Forster, 1781)	Eudyptula minor		AU	Sandspit, Bruny Island	Tasmania	PRESENT		311e2740-f15a-11d8-b22f-b8a03c50a862									1957-07-21T00:00:00	21	7	1957	2481646	2481646	PRESERVED_SPECIMEN	MSU	OR	OR.2169				CC0_1_0		J. G. Engemann		Native	2023-09-06T21:59:16.876Z		
919405206	22a66350-7947-4a49-84a3-39c7c1b0881f	urn:catalog:MSU:OR:OR.6501	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor		SPECIES	Eudyptula minor (J.R.Forster, 1781)	Eudyptula minor			Detroit Zoo, Royal Oak, Oakland County, Michigan		PRESENT		311e2740-f15a-11d8-b22f-b8a03c50a862									1972-02-29T00:00:00	29	2	1972	2481646	2481646	PRESERVED_SPECIMEN	MSU	OR	OR.6501				CC0_1_0		James J. Drake			2023-09-06T21:59:16.761Z		
919404211	22a66350-7947-4a49-84a3-39c7c1b0881f	urn:catalog:MSU:OR:OR.4576	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor		SPECIES	Eudyptula minor (J.R.Forster, 1781)	Eudyptula minor		AU	8 mi. N. Moruya	New South Wales	PRESENT		311e2740-f15a-11d8-b22f-b8a03c50a862									1964-01-17T00:00:00	17	1	1964	2481646	2481646	PRESERVED_SPECIMEN	MSU	OR	OR.4576	THS 266			CC0_1_0		Thomas H. Smith		Native	2023-09-06T21:59:17.516Z		
910359622	39f021d5-240c-445d-b62f-33bfed94938d	urn:catalog:OMNH:Egg:2619	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor		SPECIES	Eudyptula minor (J.R.Forster, 1781)						PRESENT	1	609765e0-4ce8-11db-b80e-b8a03c50a862													2481646	2481646	PRESERVED_SPECIMEN	OMNH	Egg	2619				CC0_1_0					2023-09-07T04:40:47.211Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
896556023	9ce52ff6-01b6-44a2-b617-9bc2ee8e8cd1	http://arctos.database.museum/guid/MVZ:Egg:7159?seid=931601	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor	novaehollandiae	SUBSPECIES	Eudyptula minor novaehollandiae (Stephens, 1826)	Eudyptula minor novaehollandiae		AU	Breaksea Point	Western Australia	PRESENT		8edbbde0-055e-11d8-b850-b8a03c50a862									1910-10-01T00:00:00	1	10	1910	6178300	2481646	PRESERVED_SPECIMEN	MVZ	Egg	MVZ:Egg:7159		Museum of Vertebrate Zoology, University of California, Berkeley	1999-01-27T00:00:00	CC0_1_0					2023-10-28T00:22:55.114Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
896555999	9ce52ff6-01b6-44a2-b617-9bc2ee8e8cd1	http://arctos.database.museum/guid/MVZ:Egg:7158?seid=1757781	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor	novaehollandiae	SUBSPECIES	Eudyptula minor novaehollandiae (Stephens, 1826)	Eudyptula minor novaehollandiae		AU	Sandford, Tasmania	Tasmania	PRESENT		8edbbde0-055e-11d8-b850-b8a03c50a862	-42.93333	147.5	1985.0						1917-12-10T00:00:00	10	12	1917	6178300	2481646	PRESERVED_SPECIMEN	MVZ	Egg	MVZ:Egg:7158		Museum of Vertebrate Zoology, University of California, Berkeley	1999-01-27T00:00:00	CC0_1_0					2023-10-28T00:22:54.968Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
896550960	9ce52ff6-01b6-44a2-b617-9bc2ee8e8cd1	http://arctos.database.museum/guid/MVZ:Egg:2062?seid=1011950	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor	iredalei	SUBSPECIES	Eudyptula minor iredalei Mathews, 1911	Eudyptula minor iredalei		NZ	Bay of Plenty, North Island	Bay of Plenty	PRESENT		8edbbde0-055e-11d8-b850-b8a03c50a862	-38.6833	176.0833	4860.0						1818-06-20T00:00:00	20	6	1818	6178299	2481646	PRESERVED_SPECIMEN	MVZ	Egg	MVZ:Egg:2062		Museum of Vertebrate Zoology, University of California, Berkeley	1999-01-27T00:00:00	CC0_1_0		Collector(s): R. A. Falla			2023-10-28T00:22:52.923Z	StillImage	GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
896429339	e3b959d6-fcbe-4a28-a166-e4a807c340a0	http://arctos.database.museum/guid/MVZ:Bird:164581?seid=103534	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor	minor	SUBSPECIES	Eudyptula minor minor	Eudyptula minor minor		NZ	Christchurch, Brighton Beach, South Island	Canterbury	PRESENT		8edbbde0-055e-11d8-b850-b8a03c50a862	-43.5333	172.6333	9.0						1975-02-17T00:00:00	17	2	1975	7190979	2481646	PRESERVED_SPECIMEN	MVZ	Bird	MVZ:Bird:164581		Museum of Vertebrate Zoology, University of California, Berkeley	1999-01-27T00:00:00	CC0_1_0		Collector(s): David G. Ainley			2023-10-28T00:42:01.537Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
896412523	e3b959d6-fcbe-4a28-a166-e4a807c340a0	http://arctos.database.museum/guid/MVZ:Bird:149368?seid=995269	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor	minor	SUBSPECIES	Eudyptula minor minor	Eudyptula minor minor ?		NZ	Levin, E coast Beach, North Island	Wellington	PRESENT		8edbbde0-055e-11d8-b850-b8a03c50a862	-42.35	173.233	7140.0						1959-06-07T00:00:00	7	6	1959	7190979	2481646	PRESERVED_SPECIMEN	MVZ	Bird	MVZ:Bird:149368		Museum of Vertebrate Zoology, University of California, Berkeley	1999-01-27T00:00:00	CC0_1_0		Collector(s): unknown			2023-10-28T00:42:00.375Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
896405708	e3b959d6-fcbe-4a28-a166-e4a807c340a0	http://arctos.database.museum/guid/MVZ:Bird:143230?seid=265868	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor	novaehollandiae	SUBSPECIES	Eudyptula minor novaehollandiae (Stephens, 1826)	Eudyptula minor novaehollandiae		AU	4 mi W Goolwa	South Australia	PRESENT		8edbbde0-055e-11d8-b850-b8a03c50a862	-35.51667	138.71236	6782.0		0.0	0.0			1961-08-23T00:00:00	23	8	1961	6178300	2481646	PRESERVED_SPECIMEN	MVZ	Bird	MVZ:Bird:143230	Alden H. Miller 11711	Erika J. Brock	2018-08-27T00:00:00	CC0_1_0		Collector(s): Alden H. Miller			2023-10-28T00:42:00.271Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
896399790	e3b959d6-fcbe-4a28-a166-e4a807c340a0	http://arctos.database.museum/guid/MVZ:Bird:137893?seid=26600	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor		SPECIES	Eudyptula minor (J.R.Forster, 1781)	Eudyptula minor ssp.			No specific locality recorded.		PRESENT		8edbbde0-055e-11d8-b850-b8a03c50a862									1959-03-04T00:00:00	4	3	1959	2481646	2481646	PRESERVED_SPECIMEN	MVZ	Bird	MVZ:Bird:137893	Ward C. Russell 13428	Erika J. Brock	2018-08-27T00:00:00	CC0_1_0		Collector(s): Ward C. Russell			2023-10-28T00:41:49.990Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
896325293	c9076cd3-349f-4068-a5c7-bc34449c3916	http://arctos.database.museum/guid/MSB:Bird:26626?seid=83407	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor		SPECIES	Eudyptula minor (J.R.Forster, 1781)	Eudyptula minor		US	captive	Alaska	PRESENT		939ed180-aa7b-11db-8edf-b8a03c50a862									1999-08-23T00:00:00	23	8	1999	2481646	2481646	PRESERVED_SPECIMEN	MSB	Bird	MSB:Bird:26626	RWD 26487	Robert W. Dickerman	2005-04-01T00:00:00	CC0_1_0		Collector(s): Sea World; Preparator(s): Robert W. Dickerman			2023-10-31T11:44:11.929Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
891331344	e6acc36b-4149-4458-a26f-17fbeb0df90b	URI:catalog:ROM:Vertebrate Palaeontology-Recent Osteological:7967	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor		SPECIES	Eudyptula minor (J.R.Forster, 1781)	Eudyptula minor					PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862									1980-12-31T00:00:00	31	12	1980	2481646	2481646	PRESERVED_SPECIMEN	Royal Ontario Museum: ROM	Vertebrate Paleontology	7967	30	Haddrath, Oliver		CC_BY_NC_4_0	Royal Ontario Museum; ROM				2023-09-07T11:24:13.481Z		INSTITUTION_MATCH_NONE
864927222	0debafd0-6c8a-11de-8225-b8a03c50a862	1985d3a2-5a0f-4a61-a5ec-be4c03979527	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Eudyptula	Eudyptula minor		SPECIES	Eudyptula minor (J.R.Forster, 1781)	Eudyptula minor	(J.R. Forster, 1781)	AU	Broulee Beach	New South Wales	PRESENT		64bd66c1-e7d3-48d0-9462-488729aed122	-35.8536	150.1776	2000.0	1.0E-4					2011-07-25T00:00:00	25	7	2011	2481646	2481646	PRESERVED_SPECIMEN	ANWC	Birds	B53524				CC_BY_4_0	CSIRO				2023-11-02T16:30:56.904Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
