gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
997419187	e635240a-3cb1-4d26-ab87-57d8c7afdfdb	f6f14a33-7b47-11e4-8ef3-782bcb9cd5b5	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Trichoglossus	Trichoglossus haematodus		SPECIES	Trichoglossus haematodus (Linnaeus, 1771)	Trichoglossus haematodus		PG	Kar Kar Island, Crater Rim camp	Madang	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	-4.661783	145.969033							2012-03-01T00:00:00	1	3	2012	2479686	2479686	PRESERVED_SPECIMEN	KU	KUO	121437				CC_BY_4_0					2023-11-07T18:20:05.852Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;INSTITUTION_COLLECTION_MISMATCH
991958871	96678e90-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Trichoglossus	Trichoglossus haematodus	moluccanus	SUBSPECIES	Trichoglossus haematodus moluccanus (Gmelin, 1788)	Trichoglossus haematodus subsp. moluccanus		AU	Perth, Karagullen		PRESENT		c76cf030-2a95-11da-9cc1-b8a03c50a862													6170530	2479686	PRESERVED_SPECIMEN	SMF	Collection Aves (bird skins)	90139				CC_BY_4_0					2023-11-08T02:46:49.209Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
95823699	b929f23d-290f-4e85-8f17-764c55b3b284	26fe401a-2bb3-472a-8bf6-eb86f507f07f	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Trichoglossus	Trichoglossus haematodus		SPECIES	Trichoglossus haematodus (Linnaeus, 1771)	Trichoglossus haematodus		PG	Wau, 2 km W, (Wau Ecology Institute grounds)		PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862	-7.3401502	146.7068202											2479686	2479686	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	184681	Collector Number: PRS 023	P R Swift		CC0_1_0	Bernice Pauahi Bishop Museum	P R Swift			2023-09-27T16:41:32.362Z		COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95823535	b929f23d-290f-4e85-8f17-764c55b3b284	37136db2-a16c-4c72-a01e-ba9dd01dae11	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Trichoglossus	Trichoglossus haematodus		SPECIES	Trichoglossus haematodus (Linnaeus, 1771)	Trichoglossus haematodus		PG	"Mt. Missim, 9.4 km NE of Wau, (""Bruce's Camp I"")"		PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862	-7.2776508	146.7748195											2479686	2479686	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	184797	Collector Number: --	T K Pratt & A Engilis		CC0_1_0	Bernice Pauahi Bishop Museum	B Beehler			2023-09-27T16:41:55.887Z		COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95823528	b929f23d-290f-4e85-8f17-764c55b3b284	15762aba-8522-4a01-911d-b2b4a347bef1	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Trichoglossus	Trichoglossus haematodus		SPECIES	Trichoglossus haematodus (Linnaeus, 1771)	Trichoglossus haematodus		PG	Wau, 2 km W, (Wau Ecology Institute grounds)		PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862	-7.3401502	146.7068202											2479686	2479686	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	184639	Collector Number: AGW 53	A G Wine		CC0_1_0	Bernice Pauahi Bishop Museum	A G Wine et al.			2023-09-27T16:41:53.382Z		COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95823515	b929f23d-290f-4e85-8f17-764c55b3b284	21f350a7-cdc1-44c0-99a5-7daee9a8de01	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Trichoglossus	Trichoglossus haematodus		SPECIES	Trichoglossus haematodus (Linnaeus, 1771)	Trichoglossus haematodus		PG	Wau, 2 km W, (Wau Ecology Institute grounds)		PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862	-7.3401502	146.7068202											2479686	2479686	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	184772	Collector Number: PRS 121	P R Swift		CC0_1_0	Bernice Pauahi Bishop Museum	P R Swift			2023-09-27T16:41:54.541Z		COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95823448	b929f23d-290f-4e85-8f17-764c55b3b284	6c0e1834-e8ec-461d-8c98-b351d0d9144a	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Trichoglossus	Trichoglossus haematodus		SPECIES	Trichoglossus haematodus (Linnaeus, 1771)	Trichoglossus haematodus		PG	Wau, 2 km W, (Wau Ecology Institute grounds)		PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862	-7.3401502	146.7068202											2479686	2479686	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	184698	Collector Number: PRS 040	P R Swift		CC0_1_0	Bernice Pauahi Bishop Museum	P R Swift			2023-09-27T16:41:58.842Z		COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95822926	b929f23d-290f-4e85-8f17-764c55b3b284	58fb1e6d-c208-4c6f-9022-d411d443e11c	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Trichoglossus	Trichoglossus haematodus		SPECIES	Trichoglossus haematodus (Linnaeus, 1771)	Trichoglossus haematodus		PG			PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862													2479686	2479686	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	160069				CC0_1_0	Bernice Pauahi Bishop Museum				2023-09-27T16:41:58.177Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95822703	b929f23d-290f-4e85-8f17-764c55b3b284	547ff3d3-444b-4a83-ac48-b2ca8f416036	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Trichoglossus	Trichoglossus haematodus		SPECIES	Trichoglossus haematodus (Linnaeus, 1771)	Trichoglossus haematodus		VU			PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862													2479686	2479686	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	177130				CC0_1_0	Bernice Pauahi Bishop Museum				2023-09-27T16:41:57.024Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
95822696	b929f23d-290f-4e85-8f17-764c55b3b284	cde84f4f-eb05-4ea1-8837-5b67c3de3bd0	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Trichoglossus	Trichoglossus haematodus		SPECIES	Trichoglossus haematodus (Linnaeus, 1771)	Trichoglossus haematodus		VU			PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862													2479686	2479686	PRESERVED_SPECIMEN	BPBM	VZ-BPBM	177129	Collector Number: --			CC0_1_0	Bernice Pauahi Bishop Museum	A Seale			2023-09-27T16:42:04.371Z		CONTINENT_DERIVED_FROM_COUNTRY;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
