"","species_name","museum_name","location","state","country","n_records","sex","subspecies","notes","place","lat","lon"
"1","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia",9,"m","","","Three Springs, Western Australia, Australia",-29.4913105,115.635687587099
"2","Cacatua sanguinea","ANWC","23km NE Morawa","Western Australia","Australia",3,"m","","1st record: hybrid?","23km NE Morawa, Western Australia, Australia",-28.8261232927928,116.263716991917
"3","Cacatua sanguinea","ANWC","20km NE Mingenew","Western Australia","Australia",1,"m","","","20km NE Mingenew, Western Australia, Australia",-28.9632568198198,115.675349248095
"4","Cacatua sanguinea","ANWC","30km NE Mingenew","Western Australia","Australia",1,"m","","","30km NE Mingenew, Western Australia, Australia",-28.8731667297297,115.778497579426
"5","Cacatua sanguinea","ANWC","Gutha Siding","Western Australia","Australia",1,"m","","hybrid?","Gutha Siding, Western Australia, Australia",NA,NA
"6","Cacatua sanguinea","ANWC","Wiluna","Western Australia","Australia",2,"m","","","Wiluna, Western Australia, Australia",-26.591911,120.2253369
"7","Cacatua sanguinea","ANWC","Mt Augustus Station Carnarvon","Western Australia","Australia",1,"m","","subad","Mt Augustus Station Carnarvon, Western Australia, Australia",NA,NA
"8","Cacatua sanguinea","ANWC","Innouendy Station Carnarvon","Western Australia","Australia",2,"m","","","Innouendy Station Carnarvon, Western Australia, Australia",NA,NA
"9","Cacatua sanguinea","ANWC","40km SW Tom Price","Western Australia","Australia",1,"m","","","40km SW Tom Price, Western Australia, Australia",-23.0496575603604,117.406901905045
"10","Cacatua sanguinea","ANWC","Yarraloola Station, Robe River","Western Australia","Australia",1,"m","","","Yarraloola Station, Robe River, Western Australia, Australia",NA,NA
"11","Cacatua sanguinea","ANWC","Point Sampson","Western Australia","Australia",2,"m","","subad","Point Sampson, Western Australia, Australia",NA,NA
"12","Cacatua sanguinea","ANWC","130km S Port Hedland","Western Australia","Australia",1,"m","","sub","130km S Port Hedland, Western Australia, Australia",-21.4823525711712,118.5801181
"13","Cacatua sanguinea","ANWC","Lagrange","Western Australia","Australia",1,"m","","","Lagrange, Western Australia, Australia",-18.691654,121.98132768524
"14","Cacatua sanguinea","ANWC","Napier Downs, Derby","Western Australia","Australia",3,"m","","","Napier Downs, Derby, Western Australia, Australia",-17.32978145,124.815343257721
"15","Cacatua sanguinea","ANWC","Coorow","Western Australia","Australia",1,"f","","","Coorow, Western Australia, Australia",-29.97979365,115.618803182223
"16","Cacatua sanguinea","ANWC","Winchester Siding","Western Australia","Australia",2,"f","","","Winchester Siding, Western Australia, Australia",NA,NA
"17","Cacatua sanguinea","ANWC","Three Springs","Western Australia","Australia",10,"f","","","Three Springs, Western Australia, Australia",-29.4913105,115.635687587099
"18","Cacatua sanguinea","ANWC","Morawa","Western Australia","Australia",1,"f","","","Morawa, Western Australia, Australia",-29.0333305,116.026729330352
"19","Cacatua sanguinea","ANWC","Mingenew","Western Australia","Australia",4,"f","","","Mingenew, Western Australia, Australia",-29.143437,115.469052585434
"20","Cacatua sanguinea","ANWC","Gutha Siding","Western Australia","Australia",1,"f","","","Gutha Siding, Western Australia, Australia",NA,NA
"21","Cacatua sanguinea","ANWC","Wiluna","Western Australia","Australia",3,"f","","","Wiluna, Western Australia, Australia",-26.591911,120.2253369
"22","Cacatua sanguinea","ANWC","Innouendy Station Carnarvon","Western Australia","Australia",3,"f","","3rd record: sub","Innouendy Station Carnarvon, Western Australia, Australia",NA,NA
"23","Cacatua sanguinea","ANWC","40km SW Tom Price","Western Australia","Australia",2,"f","","","40km SW Tom Price, Western Australia, Australia",-23.0496575603604,117.406901905045
"24","Cacatua sanguinea","ANWC","Turee Creek, Hamersley Range","Western Australia","Australia",1,"f","","","Turee Creek, Hamersley Range, Western Australia, Australia",NA,NA
"25","Cacatua sanguinea","ANWC","Dampier","Western Australia","Australia",1,"f","","","Dampier, Western Australia, Australia",-20.6624798,116.7119013
"26","Cacatua sanguinea","ANWC","Roebourne","Western Australia","Australia",2,"f","","","Roebourne, Western Australia, Australia",-20.7723709,117.145828
"27","Cacatua sanguinea","ANWC","Mystery","","Australia",28,"m","","1st record: sub","Mystery, , Australia",-32.3866014,137.762182385714
"28","Cacatua sanguinea","ANWC","Port Hedland","Western Australia","Australia",1,"f","","","Port Hedland, Western Australia, Australia",-20.3111814,118.5801181
"29","Cacatua sanguinea","ANWC","Lagrange","Western Australia","Australia",2,"f","","","Lagrange, Western Australia, Australia",-18.691654,121.98132768524
"30","Cacatua sanguinea","ANWC","Napier Downs, Derby","Western Australia","Australia",2,"f","","both records: ad","Napier Downs, Derby, Western Australia, Australia",-17.32978145,124.815343257721
"31","Cacatua sanguinea","ANWC","Kununurra","Western Australia","Australia",24,"f","","5th record: imm, 8th record: AD, 17, 19th record: sub, 23, 24th record: imm ","Kununurra, Western Australia, Australia",-15.7730916,128.738839
"32","Cacatua sanguinea","ANWC","Halls Creek","Western Australia","Australia",1,"f","","","Halls Creek, Western Australia, Australia",-19.0089296,127.731767627238
"33","Cacatua sanguinea","ANWC","Koolpinyah, Darwin","Northern Territory","Australia",1,"m","","","Koolpinyah, Darwin, Northern Territory, Australia",-12.3633207,130.882207652456
