species_name,museum_name,location,state,country,n_records,sex,subspecies,notes
cacatua galerita,AMNH,Oobagooma,Western Australia,Australia,1,m,,
cacatua galerita,AMNH,Daly River,Northern Territory,Australia,1,m,,
cacatua galerita,AMNH,Melville Island,Northern Territory,Australia,2,m,,
cacatua galerita,AMNH,Melville Island,Northern Territory,Australia,3,f,,
cacatua galerita,AMNH,Eureka,Northern Territory,Australia,1,m,,
cacatua galerita,AMNH,South Alligator,Northern Territory,Australia,1,m,,
cacatua galerita,AMNH,"Mt Anderson, West Kimberley",Western Australia,Australia,1,f,fitzroyi,619590
cacatua galerita,AMNH,Admiralty Gulf,Western Australia,Australia,1,f,,
cacatua galerita,AMNH,"Behn River, East Kimberley",Western Australia,Australia,1,f,,spelt Benn R.
cacatua galerita,AMNH,Eureka,Northern Territory,Australia,1,f,,
cacatua galerita,AMNH,"Coopers Camp, Apsley Strait, Melville Island",Northern Territory,Australia,1,f,melvillenses,619501
cacatua galerita,AMNH,"Cable Station, Cape York",Queensland,Australia,1,m,,
cacatua galerita,AMNH,Utingu,Queensland,Australia,4,m,,
cacatua galerita,AMNH,"Mt Sapphire, Cairns",Queensland,Australia,2,m,,
cacatua galerita,AMNH,Bellenden Ker,Queensland,Australia,1,m,,
cacatua galerita,AMNH,Babinda Creek,Queensland,Australia,1,m,,
cacatua galerita,AMNH,Johnston River,Queensland,Australia,1,m,,
cacatua galerita,AMNH,"Cable Station, Cape York",Queensland,Australia,1,f,,
cacatua galerita,AMNH,Utingu,Queensland,Australia,3,f,,
cacatua galerita,AMNH,Cooktown,Queensland,Australia,1,f,,
cacatua galerita,AMNH,"Mt Sapphire, Cairns",Queensland,Australia,1,f,,
cacatua galerita,AMNH,Johnston River,Queensland,Australia,1,f,,type of queenslandira
cacatua galerita,AMNH,Bourke,New South Wales,Australia,1,m,,
cacatua galerita,AMNH,Tarago,New South Wales,Australia,1,m,,
cacatua galerita,AMNH,Braidwood,New South Wales,Australia,1,m,,
