species_name,museum_name,location,state,country,n_records,sex,subspecies,notes
Cacatua sanguinea,ANWC,Three Springs,Western Australia,Australia,9,m,,
Cacatua sanguinea,ANWC,23km NE Morawa,Western Australia,Australia,3,m,,1st record: hybrid?
Cacatua sanguinea,ANWC,20km NE Mingenew,Western Australia,Australia,1,m,,
Cacatua sanguinea,ANWC,30km NE Mingenew,Western Australia,Australia,1,m,,
Cacatua sanguinea,ANWC,Gutha Siding,Western Australia,Australia,1,m,,hybrid?
Cacatua sanguinea,ANWC,Wiluna,Western Australia,Australia,2,m,,
Cacatua sanguinea,ANWC,Mt Augustus Station Carnarvon,Western Australia,Australia,1,m,,subad
Cacatua sanguinea,ANWC,Innouendy Station Carnarvon,Western Australia,Australia,2,m,,
Cacatua sanguinea,ANWC,40km SW Tom Price,Western Australia,Australia,1,m,,
Cacatua sanguinea,ANWC,"Yarraloola Station, Robe River",Western Australia,Australia,1,m,,
Cacatua sanguinea,ANWC,Point Sampson,Western Australia,Australia,2,m,,subad
Cacatua sanguinea,ANWC,130km S Port Hedland,Western Australia,Australia,1,m,,sub
Cacatua sanguinea,ANWC,Lagrange,Western Australia,Australia,1,m,,
Cacatua sanguinea,ANWC,"Napier Downs, Derby",Western Australia,Australia,3,m,,
Cacatua sanguinea,ANWC,Coorow,Western Australia,Australia,1,f,,
Cacatua sanguinea,ANWC,Winchester Siding,Western Australia,Australia,2,f,,
Cacatua sanguinea,ANWC,Three Springs,Western Australia,Australia,10,f,,
Cacatua sanguinea,ANWC,Morawa,Western Australia,Australia,1,f,,
Cacatua sanguinea,ANWC,Mingenew,Western Australia,Australia,4,f,,
Cacatua sanguinea,ANWC,Gutha Siding,Western Australia,Australia,1,f,,
Cacatua sanguinea,ANWC,Wiluna,Western Australia,Australia,3,f,,
Cacatua sanguinea,ANWC,Innouendy Station Carnarvon,Western Australia,Australia,3,f,,3rd record: sub
Cacatua sanguinea,ANWC,40km SW Tom Price,Western Australia,Australia,2,f,,
Cacatua sanguinea,ANWC,"Turee Creek, Hamersley Range",Western Australia,Australia,1,f,,
Cacatua sanguinea,ANWC,Dampier,Western Australia,Australia,1,f,,
Cacatua sanguinea,ANWC,Roebourne,Western Australia,Australia,2,f,,
Cacatua sanguinea,ANWC,Mystery,,Australia,28,m,,1st record: sub
Cacatua sanguinea,ANWC,Port Hedland,Western Australia,Australia,1,f,,
Cacatua sanguinea,ANWC,Lagrange,Western Australia,Australia,2,f,,
Cacatua sanguinea,ANWC,"Napier Downs, Derby",Western Australia,Australia,2,f,,both records: ad
Cacatua sanguinea,ANWC,Kununurra,Western Australia,Australia,24,f,,"5th record: imm, 8th record: AD, 17, 19th record: sub, 23, 24th record: imm "
Cacatua sanguinea,ANWC,Halls Creek,Western Australia,Australia,1,f,,
Cacatua sanguinea,ANWC,"Koolpinyah, Darwin",Northern Territory,Australia,1,m,,
Cacatua sanguinea,ANWC,Cannon Hill,Northern Territory,Australia,1,m,,
Cacatua sanguinea,ANWC,Magela Creek,Northern Territory,Australia,1,m,,
Cacatua sanguinea,ANWC,Kapalga,Northern Territory,Australia,1,m,,
Cacatua sanguinea,ANWC,Mt Isa,Queensland,Australia,2,m,,
Cacatua sanguinea,ANWC,Standend CYP,Queensland,Australia,1,m,,imm
Cacatua sanguinea,ANWC,Inkerman,Queensland,Australia,2,m,,1st record: ad
Cacatua sanguinea,ANWC,Delta Downs,Queensland,Australia,2,m,,"1st, 3rd record: ad, 2nd record: juv"
Cacatua sanguinea,ANWC,"Richmond, Flinders River",Queensland,Australia,1,m,,
Cacatua sanguinea,ANWC,Hughenden,Queensland,Australia,1,m,,
Cacatua sanguinea,ANWC,Townsville,Queensland,Australia,1,m,,
Cacatua sanguinea,ANWC,Cluny Station (Bedourie-Winderah),Queensland,Australia,3,m,,2nd record: imm
Cacatua sanguinea,ANWC,Menindee,New South Wales,Australia,1,m,,
Cacatua sanguinea,ANWC,Dapto,New South Wales,Australia,1,m,,
Cacatua sanguinea,ANWC,Merbein,Victoria,Australia,2,m,,
Cacatua sanguinea,ANWC,Nelshaby,South Australia,Australia,2,m,,
Cacatua sanguinea,ANWC,Port Germein,South Australia,Australia,1,m,,sub
Cacatua sanguinea,ANWC,"Koolpinyah, Darwin",Northern Territory,Australia,1,f,,
Cacatua sanguinea,ANWC,Cannon Hill,Northern Territory,Australia,2,f,,2nd record: imm
Cacatua sanguinea,ANWC,Kapalga,Northern Territory,Australia,1,f,,ad
Cacatua sanguinea,ANWC,Maria Island,Northern Territory,Australia,1,f,,ad
Cacatua sanguinea,ANWC,Mt Isa,Queensland,Australia,1,f,,ad
Cacatua sanguinea,ANWC,Inkerman,Queensland,Australia,2,f,,both records: ad
