species_name,museum_name,location,state,country,n_records,sex,subspecies,notes
cacatua tenuirostris,MV,Byrock,New South Wales,Australia,1,m,,
cacatua tenuirostris,MV,Elmhurst,Victoria,Australia,2,m,,
cacatua tenuirostris,MV,Mirranatwa,Victoria,Australia,3,m,,"recorded as 'Mirranatwa, C Grampians'"
cacatua tenuirostris,MV,Mortlake,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Ballarat,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Dunrobin ,Victoria,Australia,2,m,,
cacatua tenuirostris,MV,Horsham,Victoria,Australia,2,m,,
cacatua tenuirostris,MV,Edenhope,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Strathdownie,Victoria,Australia,3,m,,
cacatua tenuirostris,MV,Murrabit,Victoria,Australia,2,m,,
cacatua tenuirostris,MV,Mirranatwa,Victoria,Australia,1,m,,recorded as 'C Grampians'
cacatua tenuirostris,MV,Casterton,Victoria,Australia,4,m,,
cacatua tenuirostris,MV,Harrow,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Echuca,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Victoria Valley ,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Lake Meran ,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Yando,Victoria,Australia,3,m,,
cacatua tenuirostris,MV,Cavendish,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Fyan's Creek,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Lexton,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Tullamarine,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Yarram (Park),Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Clear Lake,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Evans Creek,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Gymbowen,Victoria,Australia,1,m,,
cacatua tenuirostris,MV,Harrow,Victoria,Australia,1,f,,
cacatua tenuirostris,MV,St Arnaud,Victoria,Australia,2,f,,
cacatua tenuirostris,MV,Casterton,Victoria,Australia,5,f,,
cacatua tenuirostris,MV,Victoria Valley ,Victoria,Australia,5,f,,
cacatua tenuirostris,MV,Mirranatwa,Victoria,Australia,2,f,,
cacatua tenuirostris,MV,Cavendish,Victoria,Australia,3,f,,
cacatua tenuirostris,MV,Horsham,Victoria,Australia,4,f,,
cacatua tenuirostris,MV,Elmhurst,Victoria,Australia,3,f,,
cacatua tenuirostris,MV,Edenhope,Victoria,Australia,1,f,,
cacatua tenuirostris,MV,Lake Meran,Victoria,Australia,3,f,,
cacatua tenuirostris,MV,Wando Bridge,Victoria,Australia,2,f,,
cacatua tenuirostris,MV,Evans Creek,Victoria,Australia,1,f,,
cacatua tenuirostris,MV,Echuca,Victoria,Australia,1,f,,
cacatua tenuirostris,MV,Barmah,Victoria,Australia,1,f,,
cacatua tenuirostris,MV,Fyan's Creek,Victoria,Australia,1,f,,
cacatua tenuirostris,MV,Yando,Victoria,Australia,1,f,,
cacatua tenuirostris,MV,Mt Dryden,Victoria,Australia,1,f,,
cacatua tenuirostris,MV,Gymbowen,Victoria,Australia,1,f,,
cacatua tenuirostris,MV,Junction Park,New South Wales,Australia,1,f,,recorded as 'Junction of Murray & Darling Rivers'
cacatua tenuirostris,AMNH,Murrumbridgee River,New South Wales,Australia,1,m,,
cacatua tenuirostris,AMNH,,New South Wales,Australia,1,m,,
cacatua tenuirostris,AMNH,Swan Hill,Victoria,Australia,1,,,
