"","species_name","museum_name","location","state","country","sex","subspecies","X","place","lat","lon"
"1","cacatua pastinator","SAMA","Carnamah","Western Australia","Australia","m","derbyi","","Carnamah, Western Australia, Australia",-29.730165,115.9667961
"2","cacatua pastinator","SAMA","Carnamah","Western Australia","Australia","m","derbyi","","Carnamah, Western Australia, Australia",-29.730165,115.9667961
"3","cacatua pastinator","SAMA","Carnamah","Western Australia","Australia","f","derbyi","","Carnamah, Western Australia, Australia",-29.730165,115.9667961
"4","cacatua pastinator","AM","King George Sound","Western Australia","Australia","m","pastinator","","King George Sound, Western Australia, Australia",-35.04804,117.97675
"5","cacatua pastinator","AM","King George Sound","Western Australia","Australia","f","pastinator","","King George Sound, Western Australia, Australia",-35.04804,117.97675
"6","cacatua pastinator","AMNH","Lake Muir","Western Australia","Australia","m","","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"7","cacatua pastinator","AMNH","Lake Muir","Western Australia","Australia","m","","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"8","cacatua pastinator","AMNH","Lake Muir","Western Australia","Australia","m","","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"9","cacatua pastinator","AMNH","Lake Muir","Western Australia","Australia","f","","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"10","cacatua pastinator","AMNH","Lake Muir","Western Australia","Australia","f","","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"11","cacatua pastinator","AMNH","Lake Muir","Western Australia","Australia","f","","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"12","cacatua pastinator","AMNH","Lake Muir","Western Australia","Australia","f","","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"13","cacatua pastinator","AMNH","Lake Muir","Western Australia","Australia","f","","","Lake Muir, Western Australia, Australia",-34.493363,116.583998
"14","cacatua pastinator","AMNH","Broomehill (Etiup?)","Western Australia","Australia","","","","Broomehill (Etiup?), Western Australia, Australia",NA,NA
"15","cacatua pastinator","AMNH","Derby","Western Australia","Australia","","","","Derby, Western Australia, Australia",-17.3031912,123.6287226
"16","cacatua pastinator","ANWC","Tone River Bridge","Western Australia","Australia","m","pastinator","","Tone River Bridge, Western Australia, Australia",NA,NA
"17","cacatua pastinator","ANWC","Tone River Bridge","Western Australia","Australia","m","pastinator","","Tone River Bridge, Western Australia, Australia",NA,NA
"18","cacatua pastinator","ANWC","Tone River Bridge","Western Australia","Australia","m","pastinator","","Tone River Bridge, Western Australia, Australia",NA,NA
"19","cacatua pastinator","ANWC","Mordalup","Western Australia","Australia","m","pastinator","","Mordalup, Western Australia, Australia",-34.330762,116.6109262
"20","cacatua pastinator","ANWC","Mordalup","Western Australia","Australia","m","pastinator","","Mordalup, Western Australia, Australia",-34.330762,116.6109262
"21","cacatua pastinator","ANWC","Mordalup","Western Australia","Australia","m","pastinator","","Mordalup, Western Australia, Australia",-34.330762,116.6109262
"22","cacatua pastinator","ANWC","Mordalup","Western Australia","Australia","m","pastinator","","Mordalup, Western Australia, Australia",-34.330762,116.6109262
"23","cacatua pastinator","ANWC","Mordalup","Western Australia","Australia","m","pastinator","","Mordalup, Western Australia, Australia",-34.330762,116.6109262
"24","cacatua pastinator","ANWC","Mordalup","Western Australia","Australia","m","pastinator","","Mordalup, Western Australia, Australia",-34.330762,116.6109262
