"","species_name","museum_name","location","state","country","sex","subspecies","notes","place","lat","lon"
"1","eudyptula minor","NMV","Phillip Island","Victoria","Australia","m","","","Phillip Island, Victoria, Australia",-38.5071781,145.1888103
"2","eudyptula minor","NMV","Phillip Island","Victoria","Australia","m","","","Phillip Island, Victoria, Australia",-38.5071781,145.1888103
"3","eudyptula minor","NMV","Portsea","Victoria","Australia","m","","","Portsea, Victoria, Australia",-38.3228212,144.7004208
"4","eudyptula minor","NMV","Lorne","","Australia","m","","","Lorne, , Australia",-38.5411691,143.9748166
"5","eudyptula minor","NMV","Seaford Beach","Victoria","Australia","m","","Seaford VIC (beach)","Seaford Beach, Victoria, Australia",-38.1007159,145.124546
"6","eudyptula minor","NMV","Phillip Island","Victoria","Australia","f","","","Phillip Island, Victoria, Australia",-38.5071781,145.1888103
"7","eudyptula minor","NMV","Fairhaven Beach","Victoria","Australia","f","","","Fairhaven Beach, Victoria, Australia",-38.4688097,144.0796574
"8","eudyptula minor","NMV","Apollo Bay","Victoria","Australia","f","","","Apollo Bay, Victoria, Australia",-38.7547442,143.6691463
"9","eudyptula minor","NMV","Warnambool","Victoria","Australia","f","","","Warnambool, Victoria, Australia",-38.4323588,142.5885759
"10","eudyptula minor","Wellington","Banks Peninsula","","New Zealand","m","hybrid with Albosignata","","Banks Peninsula, , New Zealand",-43.7233892,172.910213
"11","eudyptula minor","Wellington","Banks Peninsula","","New Zealand","m","hybrid with Albosignata","","Banks Peninsula, , New Zealand",-43.7233892,172.910213
"12","eudyptula minor","Wellington","Banks Peninsula","","New Zealand","m","hybrid with Albosignata","","Banks Peninsula, , New Zealand",-43.7233892,172.910213
"13","eudyptula minor","Wellington","Christchurch ","","New Zealand","m","hybrid with Albosignata","","Christchurch , , New Zealand",-43.530955,172.6364343
"14","eudyptula minor","Wellington","Waipara","","New Zealand","m","hybrid with Albosignata","","Waipara, , New Zealand",-43.058482,172.7602403
"15","eudyptula minor","Wellington","Diamond Harbour","","New Zealand","m","hybrid with Albosignata","","Diamond Harbour, , New Zealand",-43.6271963,172.7399332
"16","eudyptula minor","Wellington","Otago Peninsula","","New Zealand","f","hybrid with Albosignata","","Otago Peninsula, , New Zealand",-45.8412541,170.6641683
"17","eudyptula minor","Wellington","Taylor's Mistake","","New Zealand","f","hybrid with Albosignata","","Taylor's Mistake, , New Zealand",-43.5833698,172.7767798
"18","eudyptula minor","Wellington","Banks Peninsula","","New Zealand","f","hybrid with Albosignata","","Banks Peninsula, , New Zealand",-43.7233892,172.910213
"19","eudyptula minor","Wellington","Lake Jerry","","","f","hybrid with Albosignata","","Lake Jerry, , ",41.5929711,-74.3848384
