occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey,,,Phylum,Count,,,Genus,count,,dataResourceName,Count,,,,dataResourceName
,Araujia sericifera,Araujia sericifera Brot.,3170442,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Araujia,Araujia sericifera,Araujia sericifera,Brot.,3170442,,,,Arthropoda,695,,,Camponotus,137,,iNaturalist Australia,1141,,,,iNaturalist Australia
,Senecio madagascariensis,Senecio madagascariensis Poir.,3107722,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio madagascariensis,Senecio madagascariensis,Poir.,3107722,,,,Chordata,240,,,Oreochromis mossambicus,121,,FeralScan,110,,,,iNaturalist Australia
,Genista monspessulana,Genista monspessulana (L.) L.A.S.Johnson,5347796,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Genista,Genista monspessulana,Genista monspessulana,(L.) L.A.S.Johnson,5347796,,,,Tracheophyta,122,,,Austropuccinia psidii,87,,Sunshine Coast Council Habitat Restoration,2,,,,iNaturalist Australia
,Genista monspessulana,Genista monspessulana (L.) L.A.S.Johnson,5347796,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Genista,Genista monspessulana,Genista monspessulana,(L.) L.A.S.Johnson,5347796,,,,Basidiomycota,97,,,Camponotus consobrinus,86,,Southern Highlands Koala Habitat Restoration Project,2,,,,iNaturalist Australia
,Araujia sericifera,Araujia sericifera Brot.,3170442,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Araujia,Araujia sericifera,Araujia sericifera,Brot.,3170442,,,,Echinodermata,40,,,Carcinus maenas,52,,,,,,,iNaturalist Australia
,Spartium junceum,Spartium junceum L.,5355395,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Spartium,Spartium junceum,Spartium junceum,L.,5355395,,,,Annelida,22,,,Camponotus aeneopilosus,45,,,,,,,iNaturalist Australia
,Cytisus scoparius,Cytisus scoparius (L.) Link,5354656,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cytisus,Cytisus scoparius,Cytisus scoparius,(L.) Link,5354656,,,,Mollusca,17,,,Asterias amurensis,40,,,,,,,iNaturalist Australia
,Nassella trichotoma,Nassella trichotoma (Nees) Hack. & Arechav.,9613389,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Nassella,Nassella trichotoma,Nassella trichotoma,(Nees) Hack. & Arechav.,9613389,,,,Ochrophyta,13,,,Cyprinus carpio,37,,,,,,,iNaturalist Australia
,Cytisus scoparius,Cytisus scoparius (L.) Link,5354656,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cytisus,Cytisus scoparius,Cytisus scoparius,(L.) Link,5354656,,,,Chlorophyta,5,,,Linepithema humile,36,,,,,,,iNaturalist Australia
,Andropogon virginicus,Andropogon virginicus L.,2706080,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Andropogon,Andropogon virginicus,Andropogon virginicus,L.,2706080,,,,Oomycota,2,,,Technomyrmex,33,,,,,,,iNaturalist Australia
,Genista monspessulana,Genista monspessulana (L.) L.A.S.Johnson,5347796,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Genista,Genista monspessulana,Genista monspessulana,(L.) L.A.S.Johnson,5347796,,,,Ctenophora,1,,,Gambusia holbrooki,32,,,,,,,iNaturalist Australia
,Philaenus spumarius,"Philaenus spumarius (Linnaeus, 1758)",2016038,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hemiptera,Aphrophoridae,Philaenus,Philaenus spumarius,Philaenus spumarius,"(Linnaeus, 1758) ",2016038,,,,Rhodophyta,1,,,Pheidole megacephala,31,,,,,,,iNaturalist Australia
,Anoplolepis gracilipes,"Anoplolepis gracilipes (Smith, 1857)",1317433,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Anoplolepis gracilipes,"(Smith, 1857) ",1317433,,,,,,,,Camponotus nigriceps,28,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Nylanderia,23,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Sabella spallanzanii,22,,,,,,,iNaturalist Australia
,Gryllodes sigillatus,"Gryllodes sigillatus (Walker, 1869)",1722299,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllodes,Gryllodes sigillatus,Gryllodes sigillatus,"(Walker, 1869) ",1722299,,,,,,,,Camponotus intrepidus,19,,,,,,,iNaturalist Australia
,Cochlicella barbara,"Cochlicella barbara (Linnaeus, 1758)",2296807,EXACT,99,ACCEPTED,SPECIES,Animalia,Mollusca,Gastropoda,Stylommatophora,Geomitridae,Cochlicella,Cochlicella barbara,Cochlicella barbara,"(Linnaeus, 1758) ",2296807,,,,,,,,Opuntia,19,,,,,,,iNaturalist Australia
,Anoplolepis gracilipes,"Anoplolepis gracilipes (Smith, 1857)",1317433,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Anoplolepis gracilipes,"(Smith, 1857) ",1317433,,,,,,,,Anoplolepis gracilipes,15,,,,,,,iNaturalist Australia
,Protaetia fusca,"Protaetia fusca (Herbst, 1790)",1080274,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Protaetia,Protaetia fusca,Protaetia fusca,"(Herbst, 1790) ",1080274,,,,,,,,Pelmatolapia mariae,13,,,,,,,iNaturalist Australia
,Anoplolepis gracilipes,"Anoplolepis gracilipes (Smith, 1857)",1317433,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Anoplolepis gracilipes,"(Smith, 1857) ",1317433,,,,,,,,Undaria pinnatifida,13,,,,,,,iNaturalist Australia
,Anoplolepis gracilipes,"Anoplolepis gracilipes (Smith, 1857)",1317433,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Anoplolepis gracilipes,"(Smith, 1857) ",1317433,,,,,,,,Solenopsis invicta,11,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Apis (Apis) cerana,10,,,,,,,iNaturalist Australia
,Lymantria dispar,"Lymantria dispar Linnaeus, 1758",1820406,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Lymantria dispar,Lymantria dispar,"Linnaeus, 1758",1820406,,,,,,,,Camponotus suffusus bendigensis,10,,,,,,,iNaturalist Australia
,Betula pendula,Betula pendula Roth,5331916,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,Betula pendula,Betula pendula,Roth,5331916,,,,,,,,Cornu apertus,10,,,,,,,iNaturalist Australia
,Wasmannia auropunctata,"Wasmannia auropunctata (Roger, 1863)",1315391,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Wasmannia,Wasmannia auropunctata,Wasmannia auropunctata,"(Roger, 1863) ",1315391,,,,,,,,Agrilus (Agrilus) hypoleucus,10,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Paratrechina longicornis,9,,,,,,,iNaturalist Australia
,Cartodere nodifer,"Cartodere nodifer (Westwood, 1839)",4451126,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Cartodere,Cartodere nodifer,Cartodere nodifer,"(Westwood, 1839) ",4451126,,,,,,,,Pseudococcus longispinus,9,,,,,,,iNaturalist Australia
,Ctenopseustis obliquana,"Ctenopseustis obliquana (Walker, 1863)",1739553,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Ctenopseustis,Ctenopseustis obliquana,Ctenopseustis obliquana,"(Walker, 1863) ",1739553,,,,,,,,Harrisia martinii,8,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Xiphophorus hellerii,7,,,,,,,iNaturalist Australia
,Solenopsis invicta,"Solenopsis invicta Buren, 1972",5035230,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis invicta,Solenopsis invicta,"Buren, 1972",5035230,,,,,,,,Alternanthera philoxeroides,7,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Technomyrmex albipes,7,,,,,,,iNaturalist Australia
,Solenopsis invicta,"Solenopsis invicta Buren, 1972",5035230,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis invicta,Solenopsis invicta,"Buren, 1972",5035230,,,,,,,,Vachellia farnesiana,7,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Anthrenus (Florilinus) museorum,7,,,,,,,iNaturalist Australia
,Aphis fabae,"Aphis fabae Scopoli, 1763",2072167,EXACT,97,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,Aphis fabae,Aphis fabae,"Scopoli, 1763",2072167,,,,,,,,Hemigrapsus sanguineus,6,,,,,,,iNaturalist Australia
,Apis (Apis) cerana,"Apis cerana Fabricius, 1793",1341979,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis cerana,Apis cerana,"Fabricius, 1793",1341979,,,,,,,,Perca fluviatilis,6,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Camponotus innexus,6,,,,,,,iNaturalist Australia
,Philaenus spumarius,"Philaenus spumarius (Linnaeus, 1758)",2016038,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hemiptera,Aphrophoridae,Philaenus,Philaenus spumarius,Philaenus spumarius,"(Linnaeus, 1758) ",2016038,,,,,,,,Opuntia monacantha,6,,,,,,,iNaturalist Australia
,Anoplolepis gracilipes,"Anoplolepis gracilipes (Smith, 1857)",1317433,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Anoplolepis gracilipes,"(Smith, 1857) ",1317433,,,,,,,,Fomes hemitephrus,6,,,,,,,iNaturalist Australia
,Wasmannia auropunctata,"Wasmannia auropunctata (Roger, 1863)",1315391,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Wasmannia,Wasmannia auropunctata,Wasmannia auropunctata,"(Roger, 1863) ",1315391,,,,,,,,Agrilus,6,,,,,,,iNaturalist Australia
,Aphis fabae,"Aphis fabae Scopoli, 1763",2072167,EXACT,97,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,Aphis fabae,Aphis fabae,"Scopoli, 1763",2072167,,,,,,,,Diphucephala colaspidoides,6,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Nassella trichotoma,5,,,,,,,iNaturalist Australia
,Ceratitis capitata,"Ceratitis capitata (Wiedemann, 1824)",1626096,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Ceratitis,Ceratitis capitata,Ceratitis capitata,"(Wiedemann, 1824) ",1626096,,,,,,,,Gambusia,5,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Caulerpa taxifolia,5,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Vachellia bidwillii,5,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Opuntia tomentosa,5,,,,,,,iNaturalist Australia
,Anoplolepis gracilipes,"Anoplolepis gracilipes (Smith, 1857)",1317433,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Anoplolepis gracilipes,"(Smith, 1857) ",1317433,,,,,,,,Vachellia,5,,,,,,,iNaturalist Australia
,Linepithema humile,"Linepithema humile (Mayr, 1868)",1316908,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,Linepithema humile,"(Mayr, 1868) ",1316908,,,,,,,,Styela plicata,5,,,,,,,iNaturalist Australia
