correct_name,provided_name,search_term,common_name,state,lga,shape,list_name
Acacia baileyana,Acacia baileyana,Acacia baileyana,Cootamundra Wattle,NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Alternanthera philoxeroides,Alternanthera philoxeroides,Alternanthera philoxeroides,Alligator Weed,ACT,NA,NA,ACT_Weeds
Ambrosia confertiflora,Ambrosia confertiflora,Ambrosia confertiflora,"Burr Ragweed, Weakleaf Bur Ragweed",ACT,NA,NA,ACT_Weeds
Ambrosia psilostachya,Ambrosia psilostachya,Ambrosia psilostachya,Perennial Ragweed,ACT,NA,NA,ACT_Weeds
Ampelopsis glandulosa brevipedunculata,Ampelopsis glandulosa var. brevipendunculata,Ampelopsis glandulosa brevipedunculata,Porcelain Berry,ACT,NA,NA,ACT_Weeds
Ampelopsis glandulosa brevipedunculata,Ampelopsis glandulosa var. brevipendunculata,Ampelopsis glandulosa var. brevipendunculata,Porcelain Berry,ACT,NA,NA,ACT_Weeds
Andropogon virginicus,Andropogon virginicus,Andropogon virginicus,Whisky Grass,ACT,NA,NA,ACT_Weeds
Anredera cordifolia,Anredera cordifolia,Anredera cordifolia,"Madeira Vine, Lamb's Tail, Jalap, Potato Vine",ACT,NA,NA,ACT_Weeds
Araujia sericifera,Araujia sericifera,Araujia sericifera,"Moth Plant, Moth Vine",ACT,NA,NA,ACT_Weeds
Asparagus asparagoides,Asparagus asparagoides,Asparagus asparagoides,"Bridal Creeper, Florist's Smilax",ACT,NA,NA,ACT_Weeds
Berberis aquifolium,Berberis aquifolium,Berberis aquifolium,"Holly-Leaved Barberry, Oregon Grape",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Bromus tectorum,Bromus tectorum,Bromus tectorum,Drooping Brome,ACT,NA,NA,ACT_Weeds
Buddleja davidii,Buddleja davidii,Buddleja davidii,"Butterfly Bush, Buddleja, Buddleia,",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Cenchrus clandestinus,Cenchrus clandestinus,Cenchrus clandestinus,"Kikuyu, Kikuyu Grass",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Cenchrus clandestinus,Cenchrus clandestinus,Pennisetum clandestinum,"Kikuyu, Kikuyu Grass",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Cenchrus setaceus,Cenchrus setaceus,Cenchrus setaceus,African Fountain Grass,ACT,NA,NA,ACT_Weeds
Cenchrus setaceus,Cenchrus setaceus,Pennisetum setaceum,African Fountain Grass,ACT,NA,NA,ACT_Weeds
Centaurea stoebe subsp. micranthos,Centaurea stoebe subsp. micranthos,Centaurea stoebe subsp. micranthos,Spotted Knapweed,ACT,NA,NA,ACT_Weeds
Cortaderia jubata,Cortaderia jubata,Cortaderia jubata,Pink Pampas Grass,ACT,NA,NA,ACT_Weeds
Cylindropuntia pallida,Cylindropuntia pallida,Cylindropuntia pallida,"Hudson Pear, Hudson's Pear",ACT,NA,NA,ACT_Weeds
Cynoglossum creticum,Cynoglossum creticum,Cynoglossum creticum,Blue Hound's Tongue,ACT,NA,NA,ACT_Weeds
Cytisus scoparius,Cytisus scoparius,Cytisus scoparius,"Scotch Broom, Broom, English Broom",ACT,NA,NA,ACT_Weeds
Eragrostis curvula,Eragrostis curvula,Eragrostis curvula,African Lovegrass,NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Fallopia sachalinensis,Fallopia sachalinensis,Fallopia sachalinensis,Giant Knotweed,ACT,NA,NA,ACT_Weeds
Ficaria verna,Ficaria verna,Ficaria verna,Lesser Celandine,ACT,NA,NA,ACT_Weeds
Ficaria verna,Ficaria verna,Ranunculus ficaria,Lesser Celandine,ACT,NA,NA,ACT_Weeds
Freesia leichtlinii subsp. alba,Freesia leichtlinii subsp. alba x Freesia leichtlinii subsp. leichtlinii,Freesia leichtlinii subsp. alba,Freesia,ACT,NA,NA,ACT_Weeds
Freesia leichtlinii subsp. alba,Freesia leichtlinii subsp. alba x Freesia leichtlinii subsp. leichtlinii,Freesia leichtlinii subsp. leichtlinii x Freesia leichtlinii subsp. alba,Freesia,ACT,NA,NA,ACT_Weeds
Gazania linearis,Gazania linearis,Gazania linearis,Gazania,ACT,NA,NA,ACT_Weeds
Genista monspessulana,Genista monspessulana,Genista monspessulana,"Montpellier Broom, Cape Broom",ACT,NA,NA,ACT_Weeds
Gleditsia triacanthos,Gleditsia triacanthos,Gleditsia triacanthos,"Honey Locust, Thorny Locust",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Hyparrhenia hirta,Hyparrhenia hirta,Hyparrhenia hirta,Coolatai Grass,ACT,NA,NA,ACT_Weeds
Iris pseudacorus,Iris pseudacorus,Iris pseudacorus,"Yellow Flag Iris, Yellow Flag",ACT,NA,NA,ACT_Weeds
Koeleria macrantha,Koeleria macrantha,Koeleria macrantha,Crested Hairy Grass,ACT,NA,NA,ACT_Weeds
Leucanthemum vulgare,Leucanthemum vulgare,Leucanthemum vulgare,Ox-Eye Daisy,ACT,NA,NA,ACT_Weeds
Leucanthemum superbum,Leucanthemum x suberbum,Leucanthemum superbum,Shasta Daisy,NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
Ligustrum lucidum,Ligustrum lucidum,Ligustrum lucidum,"Broad-Leaved Privet, Large-Leaved Privet",NA,NA,Namadgi - Tidbinbilla,ACT_Weeds
