"Supplied Name","guid","scientificName","family","kingdom","reportedTaxon","recordID","species","order","family","habitat","class","countryCode_alpha3","isHybrid","country","countryCode_alpha2","phylum","kingdom","isInvasive","establishmentMeans","taxonRank","occurrenceStatus"
"Tinca tinca (Linnaeus, 1758)","urn:lsid:biodiversity.org.au:afd.taxon:ab722925-186b-491a-89f6-14a0115648fe","Tinca tinca","Cyprinidae",,"Tinca tinca (Linnaeus, 1758)","95706","Tinca tinca","Cypriniformes","Cyprinidae","FRESHWATER|BRACKISH","Actinopterygii","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Botryllus schlosseri (Pallas, 1766)","urn:lsid:biodiversity.org.au:afd.taxon:b1353423-623d-461e-9337-d15702477c6e","Botryllus schlosseri","Styelidae",,"Botryllus schlosseri (Pallas, 1766)","15256","Botryllus schlosseri","Stolidobranchia","Styelidae","MARINE","Ascidiacea","AUS","FALSE","Australia","AU","Chordata","Animalia","INVASIVE","ALIEN","SPECIES","PRESENT"
"Lonchura oryzivora (Linnaeus, 1758)","urn:lsid:biodiversity.org.au:afd.taxon:6755496c-937f-4a84-b603-f433574ab23a","Lonchura (Padda) oryzivora","Estrildidae",,"Lonchura oryzivora (Linnaeus, 1758)","56485","Lonchura oryzivora","Passeriformes","Estrildidae","TERRESTRIAL","Aves","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Metacarcinus novaezelandiae (Hombron & Jacquinot, 1846)","urn:lsid:biodiversity.org.au:afd.taxon:c60c4225-6ae9-4170-8f94-07679a95cfe3","Metacarcinus novaezelandiae","Cancridae",,"Cancer novaezealandiae (Jacquinot, 1853)","18579","Metacarcinus novaezelandiae","Decapoda","Cancridae","MARINE","Malacostraca","AUS","FALSE","Australia","AU","Arthropoda","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Geopelia cuneata (Latham, 1802)","urn:lsid:biodiversity.org.au:afd.taxon:cd5d42fe-e117-47ba-983b-29bf388a3cdf","Geopelia cuneata","Columbidae",,"Geopelia cuneata (Latham, 1802)","43666","Geopelia cuneata","Columbiformes","Columbidae","TERRESTRIAL","Aves","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Phasianus colchicus Linnaeus, 1758","urn:lsid:biodiversity.org.au:afd.taxon:94e99d3f-de46-4ce8-8321-b1d5a8ec91c9","Phasianus colchicus","Phasianidae",,"Phasianus colchicus Linnaeus, 1758","72428","Phasianus colchicus","Galliformes","Phasianidae","TERRESTRIAL","Aves","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Balanus improvisus Darwin, 1854","urn:lsid:biodiversity.org.au:afd.taxon:4dae6f95-1cf3-43b1-841d-605813da860d","Amphibalanus improvisus","Balanidae",,"Balanus improvisus Darwin, 1854","13240","Balanus improvisus","Sessilia","Balanidae","MARINE","Maxillopoda","AUS","FALSE","Australia","AU","Arthropoda","Animalia","INVASIVE","ALIEN","SPECIES","PRESENT"
"Cairina moschata (Linnaeus, 1758)",,,,,"Cairina moschata (Linnaeus, 1758)","17439","Cairina moschata","Anseriformes","Anatidae","TERRESTRIAL|FRESHWATER","Aves","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Cereopsis novaehollandiae Latham, 1801","urn:lsid:biodiversity.org.au:afd.taxon:3ea9722f-94e3-40fe-8a17-2ea3e428b2b4","Cereopsis novaehollandiae","Anatidae",,"Cereopsis novaehollandiae Latham, 1801","22113","Cereopsis novaehollandiae","Anseriformes","Anatidae","TERRESTRIAL|FRESHWATER","Aves","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Anas platyrhynchos Linnaeus, 1758","urn:lsid:biodiversity.org.au:afd.taxon:f75e95ed-a3ab-4c51-9727-4c6686c2fb12","Anas (Anas) platyrhynchos","Anatidae",,"Anas platyrhynchos Linnaeus, 1758","8169","Anas platyrhynchos","Anseriformes","Anatidae","TERRESTRIAL|FRESHWATER","Aves","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Eurylana arcuata (Hale, 1925)","urn:lsid:biodiversity.org.au:afd.taxon:4ce505c2-82ec-4fa3-b720-90ec2bbfc2a9","Eurylana arcuata","Cirolanidae",,"Eurylana arcuata (Hale, 1925)","40957","Eurylana arcuata","Isopoda","Cirolanidae","MARINE","Malacostraca","AUS","FALSE","Australia","AU","Arthropoda","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Synidotea laevidorsalis (Miers, 1881)","urn:lsid:biodiversity.org.au:afd.taxon:b3af1fc5-186c-4755-b684-8e468e4afe84","Synidotea","Idoteidae",,"Synidotea laevidorsalis (Miers, 1881)","93243","Synidotea laevidorsalis","Isopoda","Idoteidae","BRACKISH","Malacostraca","AUS","FALSE","Australia","AU","Arthropoda","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Oncorhynchus tshawytscha (Walbaum, 1792)","urn:lsid:biodiversity.org.au:afd.taxon:42ba6f17-e74f-4d6b-bed1-bb88a50ec8cf","Oncorhynchus tshawytscha","Salmonidae",,"Oncorhynchus tshawytscha (Walbaum, 1792)","66261","Oncorhynchus tshawytscha","Salmoniformes","Salmonidae","FRESHWATER|BRACKISH|MARINE","Actinopterygii","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Forsterygion varium (Forster, 1801)","urn:lsid:biodiversity.org.au:afd.taxon:0b69bae5-230b-437a-9245-2d3f6f9ca665","Forsterygion varium","Tripterygiidae",,"Forsterygion varium (Forster, 1801)","42178","Forsterygion varium","Perciformes","Tripterygiidae","MARINE","Actinopterygii","AUS","FALSE","Australia","AU","Chordata","Animalia","INVASIVE","ALIEN","SPECIES","PRESENT"
"Pyromaia tuberculata (Lockington, 1877)","urn:lsid:biodiversity.org.au:afd.taxon:909f24d9-1e75-41e8-82e8-cbbd965781ff","Pyromaia tuberculata","Inachoididae",,"Pyromaia tuberculata (Lockington, 1877)","80088","Pyromaia tuberculata","Decapoda","Inachoididae","MARINE","Malacostraca","AUS","FALSE","Australia","AU","Arthropoda","Animalia","INVASIVE","ALIEN","SPECIES","PRESENT"
"Carduelis carduelis (Linnaeus, 1758)","urn:lsid:biodiversity.org.au:afd.taxon:402d4b2b-cfc4-47a8-8a1d-d0de3dc6191c","Carduelis carduelis","Fringillidae",,"Carduelis carduelis (Linnaeus, 1758)","19466","Carduelis carduelis","Passeriformes","Fringillidae","TERRESTRIAL","Aves","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Membraniporopsis tubigera (Osburn, 1940)","NZOR-6-2089","Membraniporopsis tubigera","Electridae",,"Membraniporopsis tubigera (Osburn, 1940)","60330","Membraniporopsis tubigera","Cheilostomatida","Sinoflustridae","MARINE","Gymnolaemata","AUS","FALSE","Australia","AU","Bryozoa","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Watersipora arcuata Banta, 1969","urn:lsid:biodiversity.org.au:afd.taxon:3875cb9b-a4c7-4a93-8ce7-176a4dafc23b","Watersipora arcuata","Watersiporidae",,"Watersipora arcuata Banta, 1969","100942","Watersipora arcuata","Cheilostomatida","Watersiporidae","MARINE","Gymnolaemata","AUS","FALSE","Australia","AU","Bryozoa","Animalia","INVASIVE","ALIEN","SPECIES","PRESENT"
"Monocorophium acherusicum (Costa, 1853)","urn:lsid:biodiversity.org.au:afd.taxon:884d0f3b-9485-4ae6-972d-dd93b24024e8","Monocorophium acherusicum","Corophiidae",,"Monocorophium acherusicum (Costa, 1853)","62027","Monocorophium acherusicum","Amphipoda","Corophiidae","MARINE","Malacostraca","AUS","FALSE","Australia","AU","Arthropoda","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Forsterygion lapillum Hardy, 1989","urn:lsid:biodiversity.org.au:afd.taxon:3ec01abe-8038-471e-8e1f-b8633c83e277","Forsterygion lapillum","Tripterygiidae",,"Forsterygion lapillum Hardy, 1989","42177","Forsterygion lapillum","Perciformes","Tripterygiidae","MARINE","Actinopterygii","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Cyprinus carpio Linnaeus, 1758","urn:lsid:biodiversity.org.au:afd.taxon:16171fac-8d6c-4327-9fab-f2db864d71bf","Cyprinus carpio","Cyprinidae",,"Cyprinus carpio Linnaeus, 1758","31657","Cyprinus carpio","Cypriniformes","Cyprinidae","FRESHWATER|BRACKISH","Actinopterygii","AUS","FALSE","Australia","AU","Chordata","Animalia","INVASIVE","ALIEN","SPECIES","PRESENT"
"Cichlasoma trimaculatum (Günther, 1867)","urn:lsid:biodiversity.org.au:afd.taxon:b8e4c31e-f72f-4cab-9b98-41c575f527de","Amphilophus trimaculatus","Cichlidae",,"Cichlasoma trimaculatum (Günther, 1867)","24228","Cichlasoma trimaculatum","Perciformes","Cichlidae","FRESHWATER","Actinopterygii","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Coptodon zillii (Gervais, 1848)","urn:lsid:biodiversity.org.au:afd.taxon:6d040ec6-d182-4ab6-9ab6-f5ade7d911c3","Coptodon zillii","Cichlidae",,"Tilapia zilii (Gervais, 1848)","95613","Coptodon zillii","Perciformes","Cichlidae","FRESHWATER|BRACKISH","Actinopterygii","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
