electorate,state
Adelaide,SA
Aston,VIC
Ballarat,VIC
Banks,NSW
Barker,SA
Barton,NSW
Bass,TAS
Bean,ACT
Bendigo,VIC
Bennelong,NSW
Berowra,NSW
Blair,QLD
Blaxland,NSW
Bonner,QLD
Boothby,SA
Bowman,QLD
Braddon,TAS
Bradfield,NSW
Brand,WA
Brisbane,QLD
Bruce,VIC
Burt,WA
Calare,NSW
Calwell,VIC
Canberra,ACT
Canning,WA
Capricornia,QLD
Casey,VIC
Chifley,NSW
Chisholm,VIC
Clark,TAS
Cook,NSW
Cooper,VIC
Corangamite,VIC
Corio,VIC
Cowan,WA
Cowper,NSW
Cunningham,NSW
Curtin,WA
Dawson,QLD
Deakin,VIC
Dickson,QLD
Dobell,NSW
Dunkley,VIC
Durack,WA
Eden-Monaro,NSW
Fadden,QLD
Fairfax,QLD
Farrer,NSW
Fenner,ACT
Fisher,QLD
Flinders,VIC
Flynn,QLD
Forde,QLD
Forrest,WA
Fowler,NSW
Franklin,TAS
Fraser,VIC
Fremantle,WA
Gellibrand,VIC
Gilmore,NSW
Gippsland,VIC
Goldstein,VIC
Gorton,VIC
Grayndler,NSW
Greenway,NSW
Grey,SA
Griffith,QLD
Groom,QLD
Hasluck,WA
Hawke,VIC
Herbert,QLD
Higgins,VIC
Hindmarsh,SA
Hinkler,QLD
Holt,VIC
Hotham,VIC
Hughes,NSW
Hume,NSW
Hunter,NSW
Indi,VIC
Isaacs,VIC
Jagajaga,VIC
Kennedy,QLD
Kingsford Smith,NSW
Kingston,SA
Kooyong,VIC
La Trobe,VIC
Lalor,VIC
Leichhardt,QLD
Lilley,QLD
Lindsay,NSW
Lingiari,NT
Longman,QLD
Lyne,NSW
Lyons,TAS
Macarthur,NSW
Mackellar,NSW
Macnamara,VIC
Macquarie,NSW
Makin,SA
Mallee,VIC
Maranoa,QLD
Maribyrnong,VIC
Mayo,SA
McEwen,VIC
McMahon,NSW
McPherson,QLD
Melbourne,VIC
Menzies,VIC
Mitchell,NSW
Monash,VIC
Moncrieff,QLD
Moore,WA
Moreton,QLD
New England,NSW
Newcastle,NSW
Nicholls,VIC
North Sydney,NSW
O'Connor,WA
Oxley,QLD
Page,NSW
Parkes,NSW
Parramatta,NSW
Paterson,NSW
Pearce,WA
Perth,WA
Petrie,QLD
Rankin,QLD
Reid,NSW
Richmond,NSW
Riverina,NSW
Robertson,NSW
Ryan,QLD
Scullin,VIC
Shortland,NSW
Solomon,NT
Spence,SA
Sturt,SA
Swan,WA
Sydney,NSW
Tangney,WA
Wannon,VIC
Warringah,NSW
Watson,NSW
Wentworth,NSW
Werriwa,NSW
Whitlam,NSW
Wide Bay,QLD
Wills,VIC
Wright,QLD
