"taxonConceptID","count","electorate","electorate_spp","electorate_sum","z_species","z_electorate","z_sum","rank","phylum","class","order","family","species","vernacular_name","state"
"urn:lsid:biodiversity.org.au:afd.taxon:ad0892cf-8c75-45f2-9af5-dc1cf86194b0",15,"Adelaide",1060,20005,0.992245287004766,1.30168259714441,2.29392788414917,"species","Chordata","Actinopterygii","Perciformes","Eleotridae","Philypnodon grandiceps","Flathead Gudgeon","SA"
"urn:lsid:biodiversity.org.au:afd.taxon:106a7d9b-dbf8-428f-8ac0-95d545a9dc44",21,"Aston",1382,56622,0.843576102296534,3.19932512414186,4.0429012264384,"species","Chordata","Aves","Gruiformes","Rallidae","Lewinia pectoralis","Lewin's Rail","VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:77929aae-e7de-48dd-aac9-ba1080d28783",54,"Ballarat",2075,97395,1.43532446003102,3.09403201376857,4.52935647379959,"species","Chordata","Aves","Passeriformes","Monarchidae","Myiagra cyanoleuca","Satin Flycatcher","VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:31ee79a4-1139-4c4e-b9e8-fcd21ac69d5b",58,"Banks",686,18492,0.101065119164574,3.31263209310759,3.41369721227217,"species","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax varius","Pied Cormorant","NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:e0f62784-decc-4b24-81b6-555c55589eed",19,"Barker",2877,82089,1.93341378806827,2.64532731848644,4.57874110655471,"species","Chordata","Reptilia","Squamata","Scincidae","Lerista bougainvillii","South-eastern Slider","SA"
"urn:lsid:biodiversity.org.au:afd.taxon:b2bf49cd-3e0d-4b13-9315-670adfddeba7",69,"Barton",615,18483,0.616502428480741,2.53985011296636,3.1563525414471,"species","Chordata","Amphibia","Anura","Hylidae","Litoria peronii","Peron's Tree Frog","NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:ba624e08-5847-4c34-96cf-c3b414f00117",33,"Bass",1794,14700,0.0606304774627911,3.70835894747268,3.76898942493547,"species","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris ruficollis","Red-necked Stint","TAS"
"urn:lsid:biodiversity.org.au:afd.taxon:72e91e1a-63eb-488c-95d5-f4dd467b7fe8",256,"Bean",1315,146449,0.89969158885842,3.5165147114086,4.41620630026702,"species","Chordata","Aves","Passeriformes","Acanthizidae","Aphelocephala leucopsis","Southern Whiteface","ACT"
"urn:lsid:biodiversity.org.au:afd.taxon:ac2de3ed-ffb5-4792-b765-0331102d3238",445,"Bendigo",1171,88372,1.55072339771444,2.86797547828828,4.41869887600272,"species","Chordata","Amphibia","Anura","Limnodynastidae","Limnodynastes tasmaniensis","Spotted Grass Frog","VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:d33f5b1c-df22-42ea-9347-58f229a53054",33,"Bennelong",975,15297,0.0258951536172369,2.72916900203167,2.7550641556489,"species","Chordata","Amphibia","Anura","Hylidae","Litoria fallax","Eastern Dwarf Tree Frog","NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:261f11a9-8780-4ece-a929-ba3bb6ac4382",186,"Berowra",1161,19125,0.757078113436849,2.35313098343564,3.11020909687249,"species","Chordata","Aves","Passeriformes","Acanthizidae","Gerygone mouki","Brown Gerygone","NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:025b08d1-0e50-4723-b581-9be91d8d09ed",273,"Blair",2379,106272,1.11220828359678,3.45431909099154,4.56652737458832,"species","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura rufifrons","Rufous Fantail","QLD"
"urn:lsid:biodiversity.org.au:afd.taxon:2634171f-c9e7-4f4a-9774-35ec20210765",85,"Blaxland",1425,7000,-1.11182422350777,1.42171814297946,0.309893919471694,"species","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura leucophrys","Willie Wagtail","NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:e43380b0-e34a-4bd3-996d-8c8dfdb10a3e",2813,"Bonner",2122,141359,1.20099118662134,3.3260663672955,4.52705755391684,"species","Chordata","Aves","Passeriformes","Meliphagidae","Lichmera indistincta","Brown Honeyeater","QLD"
