electorate,electorate_records.x,electorate_spp,taxonConceptID,species,kingdom,phlum,count,electorate_records.y,prop_obs,z_score,scientific_name,scientific_name_authorship,rank,match_type,phylum,class,order,family,genus,vernacular_name,issues,state
Adelaide,18614,160,urn:lsid:biodiversity.org.au:afd.taxon:7065d246-3017-4768-9c8f-8c58c0e538c1,Pteropus poliocephalus,Animalia,Chordata,6824,18614,0.366605781,7.587819261,Pteropus poliocephalus,"Temminck, 1825",species,taxonIdMatch,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Grey-headed Flying-fox,noIssue,SA
Aston,63783,217,urn:lsid:biodiversity.org.au:afd.taxon:96af4c12-efff-4535-b157-9447a6cd1831,Acanthiza pusilla,Animalia,Chordata,1776,63783,0.02784441,2.335281181,Acanthiza (Acanthiza) pusilla,"(Shaw, 1790)",species,taxonIdMatch,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Brown Thornbill,noIssue,VIC
Ballarat,108950,295,urn:lsid:biodiversity.org.au:afd.taxon:05cef650-bb87-477b-ac7b-ca208e86f742,Cygnus atratus,Animalia,Chordata,3025,108950,0.02776503,3.238412758,Cygnus (Chenopis) atratus,"(Latham, 1790)",species,taxonIdMatch,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Black Swan,noIssue,VIC
Banks,19508,239,urn:lsid:biodiversity.org.au:afd.taxon:f9eb417b-2de3-48ac-ba4e-1d438f0cb323,Cacatua galerita,Animalia,Chordata,1249,19508,0.064025015,3.955157145,Cacatua (Cacatua) galerita,"(Latham, 1790)",species,taxonIdMatch,Chordata,Aves,Psittaciformes,Cacatuidae,Cacatua,Sulphur-crested Cockatoo,noIssue,NSW
Barker,86322,527,urn:lsid:biodiversity.org.au:afd.taxon:ada5e2b7-1b23-410d-a3cf-1a81853a7de8,Menetia greyii,Animalia,Chordata,279,86322,0.003232085,4.580288461,Menetia greyii,"Gray, 1845",species,taxonIdMatch,Chordata,Reptilia,Squamata,Scincidae,Menetia,Common Dwarf Skink,noIssue,SA
Barton,21941,214,urn:lsid:biodiversity.org.au:afd.taxon:b77e1af2-85ec-4d71-b6ce-cb46608e1536,Cisticola exilis,Animalia,Chordata,290,21941,0.013217264,3.962750798,Cisticola (Cisticola) exilis,"(Vigors & Horsfield, 1827)",species,taxonIdMatch,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,Golden-headed Cisticola,noIssue,NSW
Bass,13940,218,urn:lsid:biodiversity.org.au:afd.taxon:ae2be63c-f203-4545-9c9d-568e157bece4,Liopholis whitii,Animalia,Chordata,13,13940,0.000932568,3.559366553,Liopholis whitii,"(Lacépède, 1804)",species,taxonIdMatch,Chordata,Reptilia,Squamata,Scincidae,Liopholis,White's Skink,noIssue,TAS
Bean,172864,300,urn:lsid:biodiversity.org.au:afd.taxon:ab945317-2d4a-4ee8-93b1-ae21974ef6d7,Acanthiza lineata,Animalia,Chordata,1830,172864,0.010586357,2.928770463,Acanthiza (Subacanthiza) lineata,"Gould, 1838",species,taxonIdMatch,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Striated Thornbill,noIssue,ACT
Bendigo,98191,313,urn:lsid:biodiversity.org.au:afd.taxon:0a888edc-bb4d-4d60-9849-53a928044f3c,Ptilotula fusca,Animalia,Chordata,1331,98191,0.013555214,6.200394334,Ptilotula fusca,"(Gould, 1837)",species,taxonIdMatch,Chordata,Aves,Passeriformes,Meliphagidae,Ptilotula,Fuscous Honeyeater,noIssue,VIC
Bennelong,15514,222,urn:lsid:biodiversity.org.au:afd.taxon:c303a58c-ffb9-4bf6-a71b-5e22299c5ee2,Ninox strenua,Animalia,Chordata,226,15514,0.014567487,4.040592144,Ninox (Rhabdoglaux) strenua,"(Gould, 1838)",species,taxonIdMatch,Chordata,Aves,Strigiformes,Strigidae,Ninox,Powerful Owl,noIssue,NSW
Berowra,19588,314,urn:lsid:biodiversity.org.au:afd.taxon:6338346a-0f1d-4a49-82e8-5794a16899a8,Varanus varius,Animalia,Chordata,87,19588,0.004441495,3.925992164,Varanus varius,"(White, 1790)",species,taxonIdMatch,Chordata,Reptilia,Squamata,Varanidae,Varanus,Lace Monitor,noIssue,NSW
Blair,110504,408,urn:lsid:biodiversity.org.au:afd.taxon:d49cad90-2ccc-4db6-8478-aab368fdb08d,Coturnix ypsilophora,Animalia,Chordata,523,110504,0.00473286,4.423183826,Coturnix (Synoicus) ypsilophora,"Bosc, 1792",species,taxonIdMatch,Chordata,Aves,Galliformes,Phasianidae,Coturnix,Swamp Quail,noIssue,QLD
